Year,Year Code,Sex,Sex Code,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude,Rate,Crude Rate
1999,1999,Female,F,Arizona,4,30-34 years,30-34,21,176739,,,11.9
1999,1999,Female,F,Arizona,4,40-44 years,40-44,31,183329,,,16.9
1999,1999,Female,F,California,6,20-24 years,20-24,30,1095927,,,2.7
1999,1999,Female,F,California,6,25-29 years,25-29,56,1241325,,,4.5
1999,1999,Female,F,California,6,30-34 years,30-34,79,1318261,,,6.0
1999,1999,Female,F,California,6,35-39 years,35-39,157,1391548,,,11.3
1999,1999,Female,F,California,6,40-44 years,40-44,197,1309691,,,15.0
1999,1999,Female,F,California,6,45-49 years,45-49,167,1146993,,,14.6
1999,1999,Female,F,California,6,50-54 years,50-54,103,977938,,,10.5
1999,1999,Female,F,California,6,55-59 years,55-59,54,729172,,,7.4
1999,1999,Female,F,California,6,60-64 years ,60-64,23,590736,,,3.9
1999,1999,Female,F,California,6,65-69 years,65-69,20,527374,,,3.8
1999,1999,Female,F,California,6,70-74 years,70-74,25,505536,,,4.9
1999,1999,Female,F,California,6,75-79 years,75-79,24,442332,,,5.4
1999,1999,Female,F,Colorado,8,35-39 years,35-39,22,183302,,,12.0
1999,1999,Female,F,Colorado,8,40-44 years,40-44,21,182388,,,11.5
1999,1999,Female,F,Colorado,8,45-49 years,45-49,26,163353,,,15.9
1999,1999,Female,F,Connecticut,9,35-39 years,35-39,24,149312,,,16.1
1999,1999,Female,F,Florida,12,25-29 years,25-29,28,491143,,,5.7
1999,1999,Female,F,Florida,12,30-34 years,30-34,33,544936,,,6.1
1999,1999,Female,F,Florida,12,35-39 years,35-39,65,629366,,,10.3
1999,1999,Female,F,Florida,12,40-44 years,40-44,61,603875,,,10.1
1999,1999,Female,F,Florida,12,45-49 years,45-49,49,537613,,,9.1
1999,1999,Female,F,Florida,12,50-54 years,50-54,36,487549,,,7.4
1999,1999,Female,F,Florida,12,55-59 years,55-59,20,416413,,,4.8
1999,1999,Female,F,Georgia,13,40-44 years,40-44,23,326191,,,7.1
1999,1999,Female,F,Illinois,17,30-34 years,30-34,35,462016,,,7.6
1999,1999,Female,F,Illinois,17,35-39 years,35-39,42,507081,,,8.3
1999,1999,Female,F,Illinois,17,40-44 years,40-44,52,494067,,,10.5
1999,1999,Female,F,Illinois,17,45-49 years,45-49,39,435962,,,8.9
1999,1999,Female,F,Maryland,24,30-34 years,30-34,26,214620,,,12.1
1999,1999,Female,F,Maryland,24,35-39 years,35-39,33,240697,,,13.7
1999,1999,Female,F,Maryland,24,40-44 years,40-44,37,229042,,,16.2
1999,1999,Female,F,Maryland,24,45-49 years,45-49,21,203747,,,10.3
1999,1999,Female,F,Massachusetts,25,30-34 years,30-34,26,253627,,,10.3
1999,1999,Female,F,Massachusetts,25,35-39 years,35-39,26,274621,,,9.5
1999,1999,Female,F,Massachusetts,25,40-44 years,40-44,43,262923,,,16.4
1999,1999,Female,F,Massachusetts,25,45-49 years,45-49,21,232110,,,9.0
1999,1999,Female,F,Michigan,26,30-34 years,30-34,20,354483,,,5.6
1999,1999,Female,F,Michigan,26,35-39 years,35-39,38,400760,,,9.5
1999,1999,Female,F,Michigan,26,40-44 years,40-44,62,408224,,,15.2
1999,1999,Female,F,Michigan,26,45-49 years,45-49,46,364885,,,12.6
1999,1999,Female,F,Missouri,29,40-44 years,40-44,22,221817,,,9.9
1999,1999,Female,F,Nevada,32,45-49 years,45-49,22,66142,,,33.3
1999,1999,Female,F,New Jersey,34,30-34 years,30-34,22,331258,,,6.6
1999,1999,Female,F,New Jersey,34,35-39 years,35-39,40,370291,,,10.8
1999,1999,Female,F,New Jersey,34,40-44 years,40-44,41,354841,,,11.6
1999,1999,Female,F,New York,36,30-34 years,30-34,25,745879,,,3.4
1999,1999,Female,F,New York,36,35-39 years,35-39,48,801120,,,6.0
1999,1999,Female,F,New York,36,40-44 years,40-44,48,762229,,,6.3
1999,1999,Female,F,New York,36,45-49 years,45-49,47,682291,,,6.9
1999,1999,Female,F,New York,36,50-54 years,50-54,40,614943,,,6.5
1999,1999,Female,F,North Carolina,37,35-39 years,35-39,20,329526,,,6.1
1999,1999,Female,F,North Carolina,37,40-44 years,40-44,35,317082,,,11.0
1999,1999,Female,F,North Carolina,37,45-49 years,45-49,25,286917,,,8.7
1999,1999,Female,F,North Carolina,37,50-54 years,50-54,22,255755,,,8.6
1999,1999,Female,F,Ohio,39,35-39 years,35-39,23,454500,,,5.1
1999,1999,Female,F,Ohio,39,40-44 years,40-44,35,466519,,,7.5
1999,1999,Female,F,Ohio,39,45-49 years,45-49,36,417844,,,8.6
1999,1999,Female,F,Oregon,41,35-39 years,35-39,25,128928,,,19.4
1999,1999,Female,F,Pennsylvania,42,20-24 years,20-24,25,370143,,,6.8
1999,1999,Female,F,Pennsylvania,42,30-34 years,30-34,27,418304,,,6.5
1999,1999,Female,F,Pennsylvania,42,35-39 years,35-39,52,488756,,,10.6
1999,1999,Female,F,Pennsylvania,42,40-44 years,40-44,64,502938,,,12.7
1999,1999,Female,F,Pennsylvania,42,45-49 years,45-49,31,451795,,,6.9
1999,1999,Female,F,Pennsylvania,42,50-54 years,50-54,24,392687,,,6.1
1999,1999,Female,F,Tennessee,47,35-39 years,35-39,25,230518,,,10.8
1999,1999,Female,F,Tennessee,47,40-44 years,40-44,22,227827,,,9.7
1999,1999,Female,F,Tennessee,47,45-49 years,45-49,23,207699,,,11.1
1999,1999,Female,F,Texas,48,25-29 years,25-29,29,773408,,,3.7
1999,1999,Female,F,Texas,48,30-34 years,30-34,47,771770,,,6.1
1999,1999,Female,F,Texas,48,35-39 years,35-39,63,843958,,,7.5
1999,1999,Female,F,Texas,48,40-44 years,40-44,77,800286,,,9.6
1999,1999,Female,F,Texas,48,45-49 years,45-49,67,693432,,,9.7
